rxcui,atc
3706,['G03DB01']
31447,['A04AD11']
36345,['D01AE13']
61148,['H01AC01']
4053,"['D10AF02', 'J01FA01', 'S01AA17']"
6691,"['G03AC06', 'G03DA02', 'L02AB02']"
6837,['V03AB26']
136411,['G04BE03']
23386,['R06AA07']
2265690,['N03AX25']
4450,"['D01AC15', 'J02AC01']"
26744,['J06BB04']
19831,"['A07EA06', 'D07AC09', 'R01AD05', 'R03BA02']"
10865,"['B05BB03', 'B05XX02']"
36117,['R03AC12']
6582,"['A02AA02', 'A06AD02', 'A12CC10']"
67109,['B01AB04']
4331,['M01AE04']
1085787,['A03BB01']
4815,['A10BB01']
24591,['G03DC06']
10811,['N04AA01']
6984,"['C02DC01', 'D11AX01']"
33094,['A03AX15']
7454,['J01XE01']
83367,['C10AA05']
10691,['B02AA02']
59768,['L03AX04']
41493,['M01AC06']
10829,['J01EA01']
5781,"['C01EB03', 'M01AB01', 'M02AA23', 'S01BC01']"
798306,['J07AM01']
24947,['B03AA07']
83682,['J01DD16']
4986,['G03GA01']
4112,['B02BX01']
2358,"['A01AB03', 'B05CA02', 'D08AC02', 'D09AA12', 'R02AA05', 'S01AX09', 'S02AA09', 'S03AA04']"
3288,['N06BA02']
20877,['D08AE05']
475342,['L01EA02']
2599,"['C02AC01', 'N02CX02', 'S01EA04']"
7247,"['R01AA08', 'R01AB02', 'S01GA01']"
3640,"['A01AB22', 'J01AA02']"
17627,['A03AX08']
7417,['C08CA05']
28889,['R06AX13']
6932,"['A01AB09', 'A07AC01', 'D01AC02', 'G01AF04', 'J02AB01', 'S02AA13']"
6876,['C02AB01']
27781,['V08AB05']
99,['B02AA01']
2604577,['A02BC08']
1388,['P03AB02']
7299,"['A01AB08', 'A07AA01', 'B05CA09', 'D06AX04', 'J01GB05', 'R02AB01', 'S01AA03', 'S02AA07', 'S03AA01']"
258326,['N06AX25']
358255,['A04AD12']
8984,['P02CC01']
281,"['D06BB03', 'J05AB01', 'S01AD03']"
28031,['J02AC02']
684879,['A11HA02']
42612,"['A07EB01', 'D11AH03', 'R01AC01', 'R03BC01', 'S01GX01']"
52175,['C09CA01']
10032,['A14AA02']
25483,['V08CA04']
591622,"['N07BA03', 'S01XA28']"
69722,['J05AH01']
6102,['A07BC02']
88014,['N02CC04']
1291,"['D06AX05', 'J01XX10', 'R02AB04']"
9800,['V04CC03']
24605,['M01AB08']
5140,['V03AN03']
